1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1314,0.0,3.0,No,922,Rec,392,294,RFn,1957.0,1314,TA,8400,70.0,0.0,0,6,5,1314,1957,1957,145000
1061,862.0,3.0,No,674,GLQ,76,564,RFn,1992.0,1923,Gd,10186,107.0,0.0,39,5,7,750,1992,1992,190000
990,0.0,3.0,No,588,GLQ,402,0,None,1984.0,990,TA,8070,60.0,0.0,0,5,4,990,1994,1995,123600
1228,0.0,3.0,No,0,Unf,1228,271,Unf,1966.0,1228,Gd,8544,70.0,0.0,65,6,5,1228,1966,2006,149350
916,0.0,4.0,No,299,ALQ,611,164,Unf,1915.0,1826,Ex,2500,50.0,0.0,0,8,7,910,1915,2005,155000
910,0.0,4.0,No,507,Rec,403,720,Unf,2000.0,1385,TA,8520,71.0,0.0,0,4,5,910,1952,1952,166000
848,0.0,1.0,Gd,662,GLQ,186,420,Fin,2004.0,848,Gd,4438,70.0,169.0,0,5,6,848,2004,2004,144500
816,0.0,2.0,Gd,104,LwQ,0,516,Unf,1963.0,816,TA,8472,110.0,0.0,0,5,5,816,1963,1963,110000
702,779.0,3.0,No,0,Unf,702,343,Fin,1994.0,1481,TA,8125,65.0,0.0,36,5,6,702,1994,1995,174000
943,933.0,4.0,No,442,ALQ,459,540,RFn,1974.0,1876,Gd,9120,76.0,270.0,69,6,6,901,1974,1974,185000
916,826.0,4.0,No,216,BLQ,700,424,Unf,1925.0,1742,Gd,17671,121.0,0.0,169,9,8,916,1882,1986,168000
769,804.0,3.0,No,378,GLQ,378,440,Unf,2000.0,1573,Gd,2117,70.0,216.0,32,5,6,756,2000,2000,177500
630,0.0,1.0,Av,131,BLQ,0,0,Unf,1984.0,630,TA,1936,21.0,0.0,0,6,4,630,1970,1970,84500
1698,0.0,3.0,No,1234,GLQ,464,768,Unf,2007.0,1698,Ex,13286,86.0,340.0,64,5,9,1698,2007,2008,320000
832,384.0,2.0,No,442,Rec,390,336,Unf,1947.0,1216,TA,8480,80.0,0.0,0,5,5,832,1947,1950,118500
1776,0.0,4.0,No,0,Unf,1584,888,Unf,1968.0,1776,TA,11475,85.0,95.0,25,5,5,1584,1958,1958,110000
1006,769.0,3.0,No,513,ALQ,227,425,Unf,1993.0,1775,Gd,9317,75.0,137.0,72,5,7,740,1993,1993,213000
912,0.0,2.0,Av,773,GLQ,115,470,RFn,1978.0,912,TA,7540,70.0,0.0,0,6,6,888,1978,1978,156000
1145,0.0,4.0,Av,655,GLQ,490,836,RFn,2000.0,2198,Gd,14260,84.0,350.0,84,5,8,1145,2000,2000,250000
2046,0.0,3.0,Mn,0,Unf,2046,834,Fin,2008.0,2046,Gd,11844,80.0,464.0,82,5,8,2046,2008,2008,372500
729,717.0,3.0,Gd,604,GLQ,125,406,Unf,1996.0,1446,TA,21872,57.0,0.0,22,5,7,729,1996,1997,175000
1561,0.0,2.0,No,1153,GLQ,408,556,Fin,2005.0,1561,Ex,7313,60.0,246.0,47,5,9,1561,2005,2005,277500
882,0.0,2.8131868131868134,No,138,LwQ,276,461,Unf,1980.0,882,TA,7700,70.0,0.0,0,5,5,882,1972,1972,112500
912,1182.0,4.0,No,0,Unf,912,615,Fin,2003.0,2094,Gd,9375,75.0,0.0,182,5,7,912,2003,2004,263000
1500,0.0,3.0,Av,1032,GLQ,431,712,RFn,1994.0,2622,Gd,12256,98.0,362.0,32,5,8,1463,1994,1995,325000
2158,0.0,4.0,Av,477,ALQ,725,576,Unf,1950.0,2158,Gd,12615,84.0,0.0,29,7,6,1202,1950,2001,243000
1360,0.0,2.8131868131868134,No,384,ALQ,0,572,Unf,1962.0,1360,TA,7134,60.0,0.0,50,5,5,384,1955,1955,130000
1310,0.0,3.0,Av,24,GLQ,1286,400,Fin,2005.0,1310,Gd,8767,65.0,0.0,0,5,7,1310,2005,2005,164990
1836,0.0,3.0,Mn,1039,GLQ,797,862,Fin,2004.0,1836,Gd,11362,107.0,42.0,185,5,8,1836,2004,2005,280000
1490,1304.0,4.0,No,689,GLQ,773,810,Fin,1995.0,2794,Ex,15138,174.0,506.0,146,5,8,1462,1995,1996,403000
1728,0.0,6.0,No,40,GLQ,1424,352,Unf,2002.0,1728,TA,10624,70.0,84.0,0,4,5,1728,1964,1964,119000
825,0.0,2.0,No,180,LwQ,0,720,RFn,1963.0,825,TA,8235,49.0,0.0,50,7,5,825,1955,1995,125000
894,0.0,3.0,Av,182,LwQ,0,308,Unf,1976.0,894,TA,10650,75.0,0.0,0,6,5,894,1976,1976,128200
918,765.0,3.0,No,226,LwQ,192,440,RFn,1978.0,1683,TA,11184,70.0,92.0,0,5,6,918,1978,1978,172500
930,0.0,2.0,None,0,GLQ,0,308,Unf,1946.0,930,Gd,11100,60.0,0.0,0,7,4,0,1946,2006,84900
1572,1096.0,3.0,Av,1016,GLQ,556,726,Fin,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,2003,2004,412500
1073,0.0,3.0,No,836,ALQ,237,515,RFn,1965.0,1073,TA,10289,79.0,168.0,0,7,5,1073,1965,1965,156000
1334,0.0,2.0,No,686,ALQ,664,630,RFn,1977.0,1334,TA,9650,80.0,360.0,16,5,6,1350,1977,1977,167900
788,0.0,2.0,No,266,Rec,522,0,None,1984.0,788,TA,7446,70.0,0.0,0,5,4,788,1941,1950,100000
1644,0.0,2.0,Gd,1518,GLQ,0,569,Fin,1989.0,1644,Gd,12800,70.0,145.0,0,5,7,1518,1989,1989,275000
872,0.0,3.0,No,0,Unf,858,480,Unf,1974.0,872,TA,8294,70.0,0.0,0,5,4,858,1971,1971,123000
768,664.0,2.0,No,0,Unf,264,360,Unf,1910.0,1432,TA,9600,60.0,0.0,0,7,5,264,1910,2002,132000
901,900.0,3.0,No,0,Unf,893,800,Unf,2005.0,1801,Gd,10463,72.0,0.0,116,5,8,893,2005,2005,239900
1121,0.0,3.0,No,651,Rec,470,480,Unf,1963.0,1121,TA,8816,80.0,0.0,80,6,5,1121,1963,1963,139000
789,0.0,2.0,No,104,ALQ,516,250,Unf,1948.0,789,TA,6000,50.0,0.0,0,5,5,789,1948,1950,115000
1054,0.0,3.0,Gd,763,GLQ,173,480,RFn,1963.0,1054,Gd,8800,80.0,156.0,0,7,6,936,1963,1963,137500
1048,0.0,3.0,No,586,BLQ,462,286,Unf,1956.0,1048,TA,10152,72.0,120.0,20,5,5,1048,1956,1956,135000
1236,0.0,2.0,No,360,BLQ,710,447,Unf,1957.0,1236,Gd,10011,72.0,64.0,0,6,5,1070,1957,1996,134450
1152,0.0,3.0,Av,1014,GLQ,138,484,RFn,1964.0,1152,TA,14112,70.0,86.0,0,7,5,1152,1964,1964,180500
1679,0.0,3.0,No,1138,GLQ,270,575,RFn,1994.0,1679,Gd,8125,65.0,258.0,42,5,6,1408,1994,1998,193500
1478,0.0,3.0,No,189,ALQ,628,442,RFn,1957.0,1478,TA,8400,70.0,0.0,0,3,6,1478,1957,1957,156500
928,0.0,2.0,No,377,Rec,551,252,Unf,1956.0,928,TA,13300,70.0,0.0,0,7,5,928,1956,2000,132000
846,846.0,3.0,Av,0,Unf,846,650,RFn,2009.0,1692,Gd,13159,83.0,0.0,114,5,7,846,2009,2009,224500
661,589.0,3.0,No,0,Unf,661,552,Unf,1985.0,1250,TA,5362,53.0,0.0,0,6,5,661,1910,2003,139000
847,886.0,3.0,Gd,0,Unf,847,433,Fin,2003.0,1733,Gd,12394,70.0,0.0,48,5,7,847,2003,2003,225000
716,716.0,2.8131868131868134,No,425,GLQ,291,432,Fin,2004.0,1432,Gd,7795,71.0,0.0,51,5,7,716,2004,2005,188500
1077,0.0,2.0,No,851,GLQ,140,205,RFn,1939.0,1077,TA,7420,50.0,0.0,4,6,5,991,1939,1950,118000
944,0.0,2.0,None,0,None,0,528,Unf,1956.0,944,Fa,10206,74.0,0.0,0,3,3,0,1952,1952,82000
1419,0.0,2.0,Av,945,GLQ,474,567,RFn,2007.0,1419,Gd,8089,60.0,0.0,0,6,8,1419,2007,2007,392000
960,0.0,3.0,No,0,Unf,672,288,Unf,1956.0,960,TA,8926,70.0,0.0,0,3,4,672,1956,1956,112000
1646,0.0,3.0,Av,0,GLQ,1638,870,RFn,2007.0,1646,Gd,10656,67.0,274.0,80,5,8,1638,2006,2007,248900
999,0.0,3.0,Av,784,BLQ,141,300,Unf,1962.0,999,TA,10205,69.0,0.0,72,5,5,925,1962,1962,134500
779,0.0,2.0,No,0,Unf,742,308,Unf,1988.0,935,TA,9100,50.0,0.0,0,6,5,742,1930,1960,79500
1392,1070.0,4.0,Mn,57,GLQ,1335,576,RFn,2006.0,2462,Gd,19378,134.0,456.0,132,5,7,1392,2005,2006,320000
1302,0.0,3.0,Gd,270,LwQ,452,309,RFn,1964.0,1302,Gd,9350,85.0,108.0,0,7,6,1302,1964,1991,158000
936,0.0,2.0,Gd,936,GLQ,0,672,Unf,1980.0,936,TA,7200,60.0,180.0,0,5,5,936,1980,1980,140000
864,0.0,3.0,No,646,ALQ,218,336,Unf,1978.0,864,TA,7000,70.0,90.0,0,8,5,864,1978,2005,136500
820,527.0,3.0,Gd,969,GLQ,148,0,None,1984.0,1347,TA,7000,70.0,0.0,0,7,5,1117,1910,1991,107500
990,0.0,3.0,No,686,GLQ,304,672,Unf,1996.0,990,TA,9245,57.0,0.0,0,5,5,990,1994,1995,145000
1636,971.0,3.0,No,152,Rec,977,0,Unf,1984.0,3086,Ex,18030,138.0,0.0,0,6,5,1598,1946,1994,200500
1337,0.0,3.0,Mn,699,GLQ,638,531,RFn,2003.0,1337,Gd,8450,65.0,0.0,39,5,7,1337,2003,2003,185000
694,0.0,3.0,No,0,Unf,672,936,Unf,1998.0,1214,TA,10410,60.0,0.0,0,4,3,672,1915,1950,105000
1368,0.0,2.0,No,0,Unf,1368,474,Unf,2005.0,1368,Gd,6792,40.0,94.0,35,5,7,1368,2005,2006,202665
1212,0.0,3.0,Mn,36,GLQ,1176,460,RFn,2009.0,1212,Gd,10420,83.0,0.0,22,5,6,1212,2009,2009,186000
1080,0.0,3.0,No,570,BLQ,510,288,Unf,1958.0,1080,TA,9464,75.0,135.0,0,7,6,1080,1958,1958,136000
804,878.0,3.0,No,505,GLQ,299,523,RFn,1998.0,1682,Gd,8750,70.0,116.0,77,5,6,804,1998,1998,200500
790,784.0,3.0,Mn,712,GLQ,84,566,Fin,1976.0,1574,TA,18800,70.0,120.0,111,5,6,796,1976,1976,190000
691,807.0,3.0,No,592,ALQ,99,409,Fin,1995.0,1498,TA,13031,70.0,0.0,44,5,6,691,1995,1996,187500
920,941.0,3.0,No,700,GLQ,216,492,RFn,2002.0,1861,Gd,13450,95.0,0.0,91,5,7,916,2002,2002,200000
1258,0.0,2.0,Av,0,Unf,1258,648,Fin,2007.0,1258,Gd,3922,53.0,72.0,16,5,7,1258,2006,2007,172500
1253,0.0,2.8131868131868134,No,733,BLQ,520,352,RFn,1960.0,1253,TA,10920,70.0,212.0,213,5,6,1253,1960,1960,157000
1484,0.0,3.0,Av,712,GLQ,761,606,RFn,2004.0,1484,Gd,8400,70.0,109.0,35,5,7,1473,2004,2005,213000
1163,511.0,4.0,Mn,0,Unf,1163,396,Fin,1955.0,1674,TA,21780,66.0,0.0,36,7,6,1163,1918,1950,185000
864,0.0,3.0,No,191,ALQ,673,463,Unf,1994.0,864,TA,8120,70.0,0.0,0,7,4,864,1970,1970,124500
1128,445.0,3.0,No,0,Unf,1078,360,Unf,1930.0,1573,TA,6240,52.0,0.0,0,7,5,1078,1930,1992,162900
1734,0.0,3.0,Av,1300,GLQ,434,660,Unf,2005.0,1734,Gd,11645,78.0,0.0,24,5,7,1734,2005,2005,260000
495,1427.0,4.0,None,0,GLQ,0,672,RFn,2003.0,1922,Gd,7301,64.0,500.0,0,5,7,0,2003,2003,198500
1340,0.0,3.0,None,0,GLQ,0,252,Unf,1957.0,1340,TA,9060,60.0,98.0,0,6,5,0,1957,2006,120000
698,728.0,3.0,No,535,BLQ,155,440,Fin,1977.0,1426,TA,7950,75.0,140.0,0,6,6,690,1977,1977,159500
720,0.0,2.0,No,0,Unf,624,484,Unf,2005.0,720,TA,8520,60.0,0.0,0,8,6,624,1928,2003,105900
1301,1116.0,4.0,No,0,Unf,1288,462,Unf,1991.0,2417,Gd,16059,121.0,284.0,82,5,8,1288,1991,1992,260000
796,566.0,1.0,No,732,GLQ,64,480,Unf,1993.0,1362,TA,14115,85.0,0.0,30,5,5,796,1993,1995,143000
951,0.0,2.0,No,285,ALQ,666,327,Unf,1936.0,951,TA,8765,50.0,0.0,28,6,4,951,1936,1950,106500
783,701.0,3.0,No,0,GLQ,783,393,Fin,2005.0,1484,Gd,10237,65.0,0.0,72,5,6,783,2005,2007,178900
773,582.0,3.0,No,0,Unf,684,0,None,1984.0,1355,Gd,6882,60.0,0.0,0,7,6,684,1914,2006,127000
694,0.0,2.8131868131868134,No,365,LwQ,75,352,Unf,1990.0,694,Gd,4280,40.0,0.0,0,6,5,440,1913,2002,90350
1029,0.0,3.0,Mn,903,Rec,126,261,Unf,1961.0,1029,TA,7943,61.0,192.0,0,5,4,1029,1961,1961,118500
1097,896.0,4.0,No,416,Rec,409,495,RFn,1971.0,1993,TA,14803,70.0,252.0,66,5,6,825,1971,1971,190000
793,325.0,3.0,Mn,507,Rec,286,410,Unf,1939.0,1118,TA,7800,65.0,0.0,0,7,5,793,1939,1950,119900
713,739.0,3.0,No,450,GLQ,241,506,Unf,1999.0,1452,Gd,3735,35.0,218.0,34,5,7,691,1999,1999,183900
804,744.0,3.0,No,556,GLQ,248,440,Unf,1976.0,1548,Gd,2308,24.0,0.0,0,6,6,804,1976,1976,155000
2392,0.0,3.0,Gd,56,GLQ,2336,968,Fin,2003.0,2392,Ex,13472,103.0,922.0,105,5,10,2392,2003,2003,386250
1040,0.0,3.0,No,824,ALQ,216,308,Fin,1963.0,1040,TA,7500,75.0,0.0,0,5,5,1040,1963,1963,133000
1182,960.0,2.8131868131868134,No,448,Rec,448,509,Fin,1968.0,2142,Gd,13000,100.0,576.0,72,6,6,896,1968,1968,193500
1088,871.0,3.0,Av,0,Unf,1088,1025,RFn,2006.0,1959,Gd,9000,75.0,0.0,46,5,8,1088,2006,2006,270000
1080,0.0,3.0,No,680,GLQ,400,0,None,1984.0,1080,Gd,7500,63.0,120.0,0,5,7,1080,2004,2005,141000
703,689.0,2.0,No,0,Unf,689,540,Unf,2007.0,1392,Gd,3604,34.0,0.0,102,5,7,689,2007,2007,146000
988,0.0,3.0,No,827,Rec,161,572,Unf,1963.0,988,TA,9945,70.0,57.0,0,5,5,988,1961,1961,128500
1098,880.0,4.0,No,552,BLQ,280,486,RFn,1968.0,1978,TA,9900,70.0,342.0,43,5,7,832,1968,1968,176000
1588,0.0,2.8131868131868134,Av,1162,ALQ,426,472,RFn,1999.0,1588,Gd,10264,78.0,183.0,29,5,7,1588,1999,1999,214000
1478,0.0,2.0,Av,578,GLQ,892,484,Fin,2009.0,1478,Gd,4403,70.0,432.0,144,5,7,1470,2009,2009,222000
2121,0.0,3.0,Gd,0,Unf,2121,732,Fin,2007.0,2121,Ex,14450,107.0,315.0,98,5,9,2121,2006,2007,415298
1301,0.0,2.0,No,0,Unf,1293,572,RFn,2006.0,1301,Gd,7200,60.0,0.0,121,5,7,1293,2006,2006,187750
1241,0.0,1.0,No,1106,GLQ,135,569,Unf,2007.0,1241,Gd,4274,35.0,0.0,116,5,7,1241,2006,2007,199900
1523,0.0,2.8131868131868134,No,644,ALQ,549,478,Fin,1976.0,1523,TA,11361,104.0,160.0,0,5,6,1193,1976,1976,180000
1344,0.0,2.8131868131868134,Gd,1309,GLQ,35,784,Fin,1997.0,1344,TA,7060,78.0,200.0,0,5,7,1344,1997,1998,206300
1240,0.0,2.0,Av,0,Unf,1240,826,RFn,2006.0,1240,Gd,8556,74.0,0.0,93,5,7,1240,2006,2006,194000
1120,1120.0,6.0,None,0,None,0,528,Unf,1979.0,2240,TA,7018,64.0,0.0,0,5,5,0,1979,1979,142953
1440,0.0,3.0,No,678,BLQ,762,467,Fin,1981.0,1440,Gd,12546,70.0,310.0,0,7,6,1440,1981,1981,182900
864,0.0,3.0,No,0,Unf,864,280,Unf,1972.0,864,TA,9353,71.0,0.0,0,5,4,864,1970,1970,116050
1680,0.0,3.0,No,144,LwQ,379,583,Fin,1998.0,1680,Gd,10140,78.0,0.0,73,5,7,1650,1998,1999,213250
944,545.0,3.0,No,0,Unf,778,240,Unf,1940.0,1489,TA,9900,60.0,0.0,0,7,6,778,1940,1950,139500
1349,0.0,3.0,No,0,GLQ,1349,539,Unf,2000.0,1349,TA,8450,65.0,108.0,55,5,7,1349,2000,2001,179000
901,0.0,2.0,No,0,Unf,901,281,Unf,1954.0,901,TA,6000,50.0,0.0,0,7,4,901,1954,2000,107900
810,0.0,3.0,No,387,ALQ,374,484,RFn,1992.0,1603,Gd,7153,65.0,0.0,124,5,6,761,1992,1992,175900
1152,0.0,3.0,No,0,Unf,1092,300,Unf,1950.0,1152,Gd,14000,80.0,0.0,36,8,6,1092,1950,2004,158500
1072,0.0,2.0,Gd,547,GLQ,0,525,Fin,2005.0,1072,TA,3675,35.0,80.0,28,5,5,547,2005,2005,145000
2259,0.0,3.0,Mn,35,GLQ,905,450,Unf,1953.0,2259,Gd,21000,70.0,184.0,120,5,6,1809,1953,1953,217000
1040,0.0,3.0,Mn,532,LwQ,364,484,Unf,1977.0,1040,Gd,8800,61.0,0.0,0,7,5,1040,1977,2008,150500
1258,0.0,0.0,Av,1198,GLQ,0,400,Unf,1969.0,1258,TA,12900,60.0,0.0,0,4,4,1198,1969,1969,108959
697,804.0,3.0,No,518,ALQ,179,420,Fin,1993.0,1501,Gd,7685,70.0,112.0,63,5,6,697,1993,1994,165600
1466,0.0,3.0,Av,16,GLQ,1450,610,Fin,2007.0,1466,Gd,8925,73.0,0.0,18,5,8,1466,2007,2007,201000
1053,0.0,3.0,No,806,ALQ,247,312,RFn,1959.0,1053,Gd,10007,72.0,54.0,0,7,5,1053,1959,2006,145500
1752,0.0,2.0,No,456,GLQ,1296,576,RFn,2005.0,1752,Ex,7658,61.0,412.0,82,5,9,1752,2005,2005,319900
1494,0.0,3.0,Gd,1443,GLQ,39,514,RFn,1998.0,1494,Gd,16196,70.0,0.0,25,5,7,1482,1998,1998,215000
1425,0.0,3.0,No,490,GLQ,935,576,RFn,1964.0,1425,TA,10175,100.0,272.0,0,5,6,1425,1964,1964,180500
1702,0.0,1.0,No,1540,GLQ,162,1052,Fin,2008.0,1702,Ex,8769,65.0,766.0,72,5,9,1702,2008,2008,367294
1800,0.0,2.0,No,0,Unf,1800,702,Fin,2007.0,1800,Ex,11923,122.0,0.0,136,5,9,1800,2007,2007,239000
1272,928.0,4.0,No,1084,ALQ,188,0,None,1984.0,2200,TA,8777,67.0,0.0,70,7,5,1272,1900,2003,145900
833,833.0,3.0,No,0,Unf,588,228,Unf,1925.0,1666,Gd,5100,70.0,0.0,63,7,8,588,1925,1996,161000
1392,1392.0,5.0,No,790,GLQ,133,564,RFn,1978.0,2784,Gd,16692,80.0,184.0,112,5,7,1392,1978,1978,250000
1131,0.0,2.8131868131868134,No,168,Rec,739,672,Unf,1995.0,1131,TA,5925,50.0,435.0,72,7,4,907,1937,2000,89471
792,725.0,3.0,No,0,Unf,792,400,Unf,1931.0,1517,Gd,11435,70.0,0.0,0,7,8,792,1929,1950,230000
1120,0.0,2.8131868131868134,No,206,ALQ,914,0,None,1984.0,1120,TA,8402,70.0,0.0,30,5,5,1120,2007,2007,147000
812,670.0,3.0,No,0,Unf,384,392,Fin,1992.0,1482,Gd,9125,70.0,170.0,25,5,7,384,1992,1992,163900
864,0.0,2.0,No,524,ALQ,160,576,Unf,1989.0,864,TA,10500,70.0,0.0,0,6,4,864,1971,1971,97000
1188,0.0,3.0,No,1000,Rec,188,531,RFn,1959.0,1188,TA,12160,70.0,180.0,0,5,5,1188,1959,1959,142000
778,798.0,3.0,No,0,Unf,770,614,RFn,2006.0,1576,Gd,8125,65.0,0.0,50,5,7,770,2006,2006,197000
960,0.0,3.0,Av,789,ALQ,171,576,Unf,1970.0,960,TA,9873,60.0,160.0,288,5,4,960,1970,1970,129000
1574,0.0,3.0,No,24,GLQ,1550,824,RFn,2006.0,1574,Gd,11957,75.0,53.0,104,5,8,1574,2006,2006,232000
997,0.0,3.0,No,0,Unf,793,0,None,1984.0,1517,Fa,8500,85.0,0.0,0,7,5,793,1919,2005,115000
1464,0.0,3.0,Av,444,ALQ,76,480,RFn,1997.0,1464,TA,12886,70.0,0.0,0,6,5,520,1963,1999,175000
1277,1067.0,3.0,No,0,Unf,1264,889,RFn,1996.0,2344,Gd,10208,79.0,921.0,0,5,7,1264,1996,1997,265000
1358,0.0,2.0,Av,720,GLQ,638,484,RFn,2004.0,1358,Gd,8198,59.0,146.0,30,5,7,1358,2004,2004,207000
948,742.0,3.0,No,0,Unf,924,463,RFn,2000.0,1690,TA,8063,70.0,0.0,48,5,6,924,2000,2000,181000
1382,0.0,3.0,Gd,672,Rec,0,884,Unf,1991.0,1382,TA,19296,120.0,399.0,0,5,6,1362,1962,1962,176000
888,676.0,3.0,No,0,Unf,650,476,Unf,1980.0,1564,TA,8400,70.0,130.0,50,6,6,650,1980,1981,171000
1306,0.0,1.0,Av,900,ALQ,406,624,Unf,2005.0,1306,Gd,5381,34.0,135.0,63,5,6,1306,2005,2005,196000
1137,0.0,2.0,No,980,GLQ,92,551,Unf,1987.0,1137,Gd,13811,54.0,72.0,0,6,6,1112,1987,1987,176000
988,0.0,2.0,No,0,GLQ,988,520,RFn,1954.0,988,TA,21750,100.0,0.0,0,5,5,988,1954,1954,113000
576,533.0,3.0,Av,349,ALQ,23,288,Unf,1971.0,1109,TA,10500,70.0,82.0,0,7,5,372,1971,2005,139000
1134,0.0,2.0,No,588,GLQ,422,254,Unf,1960.0,1134,TA,7000,70.0,45.0,16,7,5,1010,1960,2002,135000
1548,1066.0,4.0,No,956,ALQ,384,624,RFn,1974.0,2614,TA,10800,90.0,0.0,243,7,6,1522,1974,1997,240000
865,445.0,2.0,No,617,LwQ,0,398,Unf,1924.0,1310,TA,7000,50.0,0.0,0,6,6,617,1924,1950,112000
1080,0.0,3.0,No,336,ALQ,748,484,Unf,1983.0,1080,TA,9187,71.0,0.0,0,5,6,1084,1983,1983,134000
1496,636.0,1.0,Gd,1441,GLQ,55,612,Fin,1983.0,2132,Gd,12327,79.0,0.0,40,8,8,1496,1983,2009,316600
1222,698.0,4.0,No,0,Unf,570,487,RFn,1968.0,1920,Gd,10192,102.0,143.0,98,6,7,570,1968,1992,170000
734,0.0,2.0,No,0,Unf,648,440,Unf,1990.0,1118,TA,4400,40.0,0.0,0,8,6,648,1920,1950,116000
1704,0.0,3.0,No,1218,GLQ,486,772,Unf,2008.0,1704,Gd,11478,98.0,200.0,50,5,8,1704,2007,2008,306000
861,0.0,1.0,No,262,BLQ,599,539,Unf,1961.0,861,TA,12342,70.0,0.0,0,5,4,861,1940,1950,82500
1041,702.0,3.0,No,384,ALQ,143,539,Unf,1968.0,1743,TA,11700,90.0,365.0,0,6,6,702,1968,1968,175000
483,504.0,2.8131868131868134,No,321,Rec,162,280,Unf,1987.0,987,TA,1869,21.0,127.0,0,6,6,483,1970,1970,106000
1220,0.0,2.0,Av,684,GLQ,515,632,RFn,2006.0,1220,Gd,7406,64.0,84.0,54,5,7,1199,2006,2006,194000
1402,0.0,2.0,Av,0,Unf,1258,648,Fin,2006.0,1402,Gd,3922,53.0,72.0,16,5,7,1258,2006,2007,194201
848,0.0,2.8131868131868134,Mn,662,GLQ,186,420,RFn,2004.0,848,Gd,4435,37.0,169.0,0,5,6,848,2004,2004,155900
990,0.0,3.0,No,746,ALQ,244,480,Unf,2000.0,990,TA,8072,60.0,0.0,64,5,5,990,1994,1995,138000
1357,0.0,2.0,Av,719,ALQ,300,312,RFn,1959.0,1357,Ex,11512,124.0,84.0,0,7,6,1019,1959,2006,177000
1535,0.0,3.0,No,2,GLQ,1515,532,RFn,2004.0,1535,Gd,10171,70.0,168.0,0,5,7,1517,2004,2004,214000
914,0.0,2.0,Av,298,GLQ,572,576,Unf,1998.0,914,TA,8846,57.0,0.0,0,5,5,870,1996,1996,148000
936,316.0,3.0,No,0,Unf,504,576,Unf,1986.0,1252,TA,7438,92.0,0.0,0,8,5,504,1908,1991,127000
1003,0.0,3.0,Av,819,GLQ,184,588,Unf,1984.0,1003,TA,7937,37.0,0.0,0,6,6,1003,1984,1984,142500
630,0.0,1.0,Av,509,GLQ,121,286,Unf,1970.0,630,TA,1477,21.0,0.0,0,4,4,630,1970,1970,80000
1138,0.0,3.0,Av,507,GLQ,81,264,Unf,1958.0,1138,TA,10482,65.0,63.0,0,8,6,588,1958,1958,145000
858,858.0,4.0,No,319,Rec,539,490,Fin,1962.0,1716,TA,9247,70.0,318.0,84,6,6,858,1962,1962,171000
765,600.0,2.0,No,471,ALQ,294,440,Unf,1971.0,1365,TA,1920,24.0,376.0,36,5,5,765,1971,1971,122500
