OverallQual,TotalBsmtSF,2ndFlrSF,GarageArea
7,660,660.0,400
5,1013,966.0,538
5,1120,0.0,525
5,992,0.0,756
4,546,546.0,0
7,718,978.0,704
5,845,0.0,576
6,894,1039.0,668
6,672,546.0,264
7,808,808.0,534
8,1220,870.0,556
5,1484,0.0,487
5,1656,0.0,506
6,818,406.0,210
6,992,1032.0,390
7,832,0.0,576
4,546,546.0,286
5,1268,0.0,252
7,799,834.0,550
8,1657,0.0,502
6,1478,0.0,508
6,932,0.0,306
7,1277,0.0,526
7,1530,0.0,630
5,1024,0.0,484
5,840,0.0,528
7,1314,0.0,626
7,1391,571.0,868
7,788,702.0,388
6,848,0.0,420
5,672,0.0,240
7,1152,1152.0,252
5,660,704.0,180
7,725,754.0,484
7,1226,0.0,740
6,832,1111.0,444
6,1158,0.0,576
5,1154,0.0,480
7,880,844.0,527
6,773,885.0,431
4,0,0.0,520
5,816,521.0,300
8,728,1479.0,1014
6,483,504.0,264
5,644,547.0,0
7,585,0.0,505
7,744,,440
8,1976,0.0,908
8,1563,0.0,758
7,572,539.0,288
7,776,651.0,270
3,0,0.0,452
9,1848,880.0,706
5,630,672.0,264
7,1332,192.0,586
4,0,468.0,680
5,1125,0.0,430
7,600,600.0,480
6,798,842.0,520
7,1223,904.0,525
6,972,0.0,240
8,1128,878.0,466
5,1144,,596
5,1062,0.0,288
5,926,0.0,484
8,1086,838.0,592
5,1164,0.0,240
5,952,0.0,840
8,684,1215.0,0
6,880,0.0,540
6,482,691.0,672
6,1004,0.0,480
4,747,456.0,305
5,915,0.0,495
5,1145,0.0,440
7,1453,0.0,445
8,1581,0.0,670
8,1588,0.0,825
6,588,0.0,264
5,1050,0.0,368
4,960,0.0,432
5,810,454.0,280
6,1489,0.0,462
7,1726,0.0,786
7,1362,720.0,484
7,1309,0.0,484
8,1284,1140.0,1069
7,879,984.0,660
5,768,0.0,396
1,0,0.0,0
6,1136,0.0,384
6,1237,0.0,405
5,912,0.0,288
5,864,936.0,264
5,720,720.0,240
5,658,526.0,0
7,925,925.0,308
5,1063,0.0,624
6,1422,0.0,576
5,1632,0.0,576
7,1630,0.0,451
3,1013,0.0,0
4,0,0.0,420
6,806,806.0,216
4,1122,653.0,576
6,1416,0.0,418
8,1482,1092.0,868
6,764,764.0,520
6,1248,0.0,520
6,958,0.0,440
6,833,795.0,370
4,1281,0.0,490
6,1158,0.0,400
6,735,,220
5,892,0.0,288
5,788,0.0,240
5,1140,0.0,0
6,780,813.0,483
6,848,912.0,551
10,1017,981.0,812
5,691,0.0,216
8,768,,676
6,994,639.0,325
7,994,776.0,442
7,884,884.0,543
10,1930,1796.0,807
6,1298,,403
7,1501,0.0,484
5,630,0.0,0
6,1103,0.0,440
4,859,319.0,384
4,1196,0.0,440
7,1372,,529
6,1099,0.0,296
7,1422,0.0,626
6,1580,874.0,501
4,1121,0.0,440
8,1143,1330.0,852
5,1057,0.0,576
5,1097,0.0,602
8,1152,1106.0,671
9,2002,0.0,746
6,672,714.0,440
8,1082,871.0,1043
8,1337,0.0,462
8,969,1288.0,648
8,1705,0.0,826
5,1024,0.0,484
7,1373,0.0,660
7,1902,0.0,567
7,1216,1216.0,693
5,1086,0.0,528
6,1054,0.0,460
8,1225,1336.0,676
5,876,0.0,288
7,845,,484
6,689,703.0,299
5,1109,0.0,576
5,1208,768.0,240
6,862,208.0,208
6,611,611.0,502
7,975,1286.0,429
4,649,668.0,250
8,1734,0.0,928
6,1194,0.0,312
5,876,540.0,720
5,1383,0.0,354
5,1001,1001.0,871
8,1496,0.0,474
5,984,620.0,660
5,680,0.0,504
6,741,755.0,476
7,1494,0.0,840
6,960,0.0,180
7,1145,0.0,397
6,742,742.0,0
6,819,0.0,525
5,650,581.0,686
9,1122,1370.0,656
4,600,0.0,528
7,1108,989.0,583
10,3138,1538.0,884
6,698,390.0,624
4,720,0.0,0
8,1580,0.0,830
4,1440,0.0,0
6,738,,540
7,1500,0.0,570
5,884,464.0,216
5,864,0.0,884
6,1394,0.0,514
6,800,832.0,484
5,912,0.0,336
6,1370,1254.0,864
5,1140,0.0,349
5,440,548.0,440
8,853,1178.0,440
6,728,728.0,429
4,864,0.0,660
6,970,739.0,380
8,810,855.0,528
7,1347,1274.0,656
7,798,,595
3,978,685.0,420
4,1364,0.0,529
5,1728,0.0,504
6,1055,790.0,462
6,822,831.0,440
8,1489,0.0,776
6,864,0.0,300
5,1256,0.0,276
5,816,0.0,816
7,864,918.0,492
7,1104,1215.0,833
5,1065,0.0,461
6,1200,0.0,312
7,1187,0.0,632
8,1094,1349.0,642
7,1720,,527
5,672,0.0,0
6,1278,0.0,496
5,1090,0.0,450
8,1141,,420
5,969,0.0,440
3,894,0.0,1248
5,1008,,360
6,979,979.0,492
8,1795,0.0,895
9,1930,0.0,606
5,1176,0.0,439
6,672,672.0,400
7,1417,0.0,554
5,864,0.0,338
5,616,495.0,200
6,680,790.0,420
6,1116,0.0,440
6,864,,288
5,1297,0.0,498
5,1113,0.0,264
7,1490,0.0,577
7,756,783.0,614
7,991,956.0,678
8,1709,0.0,908
6,1010,0.0,440
7,1117,886.0,455
7,1266,0.0,388
9,1992,876.0,716
7,952,1276.0,554
7,1414,0.0,494
6,928,785.0,471
6,713,741.0,434
4,698,430.0,528
6,1096,0.0,358
6,1728,0.0,574
8,1629,762.0,711
5,1437,0.0,452
7,1156,530.0,400
7,856,0.0,400
8,1370,0.0,484
6,1680,0.0,480
7,970,739.0,380
6,483,,264
7,793,901.0,216
6,952,1175.0,360
6,1059,0.0,264
6,1604,0.0,533
6,1244,0.0,336
4,700,0.0,252
7,600,623.0,480
6,1686,0.0,612
8,1638,0.0,800
5,864,0.0,264
7,939,858.0,639
4,0,0.0,462
7,992,873.0,839
5,1056,0.0,308
9,1926,1174.0,820
6,506,0.0,492
8,1686,0.0,636
6,802,709.0,413
5,1057,0.0,246
4,777,1044.0,560
7,1204,806.0,786
7,1673,1523.0,594
7,880,807.0,512
6,1372,0.0,457
7,1346,0.0,437
8,1053,,648
7,600,628.0,462
5,999,0.0,264
4,622,622.0,528
6,1127,0.0,490
9,1626,0.0,702
8,1158,1218.0,853
5,540,551.0,352
6,794,676.0,388
7,1541,0.0,532
4,1440,0.0,0
7,868,0.0,438
8,1494,0.0,481
9,1462,,738
5,731,523.0,186
8,1028,1242.0,683
6,816,850.0,540
7,1064,703.0,504
8,1324,,550
6,912,546.0,330
6,1314,0.0,440
6,1575,0.0,529
9,1620,0.0,912
4,1104,684.0,304
6,814,0.0,240
6,1542,0.0,500
8,776,677.0,492
7,815,875.0,225
5,1188,0.0,576
7,1568,0.0,508
5,864,0.0,0
5,536,576.0,336
7,700,1121.0,746
4,686,518.0,210
4,656,0.0,216
6,698,698.0,384
9,1856,0.0,834
8,1582,551.0,789
6,1602,0.0,529
5,630,672.0,280
6,783,702.0,393
5,912,0.0,352
6,1004,,420
6,1181,304.0,576
4,747,0.0,220
4,0,0.0,420
7,831,829.0,493
5,1026,665.0,308
5,864,0.0,720
6,744,0.0,264
7,963,829.0,564
7,764,862.0,474
8,1476,0.0,472
7,1470,1818.0,870
9,1652,0.0,840
5,1276,0.0,350
6,856,,271
4,720,472.0,0
5,840,0.0,504
7,1157,,454
5,0,0.0,392
7,728,883.0,532
5,264,688.0,336
6,684,684.0,216
3,840,765.0,379
10,2006,0.0,900
7,625,625.0,528
8,1624,0.0,757
4,845,0.0,360
5,1389,0.0,418
5,968,0.0,480
4,546,546.0,286
6,848,0.0,420
5,1269,0.0,308
5,1092,0.0,288
7,795,795.0,539
4,952,0.0,283
4,736,716.0,0
5,1039,0.0,504
6,1204,0.0,412
6,1029,0.0,672
7,2158,0.0,701
5,985,0.0,328
8,3206,0.0,880
7,861,600.0,216
5,980,0.0,484
7,1095,1129.0,590
6,602,602.0,180
6,697,626.0,432
8,1034,1028.0,836
2,264,0.0,0
8,1573,0.0,840
8,1932,0.0,774
5,1075,0.0,404
5,882,0.0,280
10,1700,,786
5,636,661.0,240
7,1379,1015.0,834
8,774,1194.0,680
7,1536,0.0,532
3,864,0.0,200
8,3200,0.0,546
7,1434,631.0,670
7,1240,1320.0,864
7,1304,0.0,530
8,1030,1060.0,878
5,864,0.0,360
5,784,800.0,530
6,1040,,480
6,684,512.0,528
5,1052,668.0,451
5,1728,0.0,576
8,1128,903.0,577
6,1196,0.0,297
5,720,0.0,360
5,780,840.0,462
8,2077,0.0,1134
9,1869,0.0,617
7,930,930.0,431
2,480,0.0,308
4,0,0.0,516
4,816,0.0,288
7,1271,,478
6,936,830.0,451
8,1338,1168.0,796
5,1144,0.0,796
5,612,1611.0,621
6,972,605.0,312
5,970,0.0,624
7,2136,0.0,513
6,1026,,440
5,698,0.0,0
7,1533,0.0,576
5,720,0.0,660
7,1391,0.0,530
5,1078,0.0,240
8,1267,0.0,471
6,1442,0.0,301
5,940,940.0,0
7,1502,0.0,644
6,1392,0.0,458
4,1768,0.0,0
5,1624,0.0,390
6,958,0.0,301
5,894,0.0,600
6,1224,0.0,402
10,1682,590.0,846
8,1256,0.0,430
8,1732,0.0,712
6,728,728.0,390
6,655,0.0,539
5,1008,0.0,240
7,1373,0.0,430
5,747,892.0,180
7,637,0.0,280
5,384,640.0,400
7,980,734.0,496
5,0,0.0,294
3,728,0.0,0
6,626,591.0,288
5,990,0.0,299
8,1117,1320.0,691
6,848,0.0,420
6,672,672.0,300
6,1218,0.0,676
6,588,748.0,672
8,1247,0.0,550
6,1330,1330.0,619
8,1600,0.0,482
6,1844,0.0,546
7,1113,858.0,689
6,982,793.0,463
7,1050,887.0,574
4,630,0.0,0
7,1494,0.0,530
3,600,,0
7,1274,0.0,508
6,1156,0.0,364
6,660,0.0,528
7,783,702.0,393
7,793,793.0,550
6,816,0.0,0
7,1176,0.0,555
4,941,,548
6,1080,0.0,528
5,768,0.0,240
8,1694,0.0,818
8,1800,0.0,765
5,662,915.0,560
6,1040,678.0,315
6,940,0.0,576
5,876,0.0,408
5,1126,0.0,484
8,1136,1332.0,872
6,938,0.0,540
5,1052,0.0,288
6,572,524.0,0
6,1141,0.0,484
6,732,778.0,484
8,1004,848.0,660
6,520,0.0,0
5,624,720.0,513
7,1947,0.0,576
6,907,1051.0,360
8,1142,1540.0,831
7,1364,0.0,484
7,1237,0.0,402
6,1328,0.0,528
5,978,0.0,286
7,768,800.0,486
6,952,0.0,192
8,1660,0.0,500
9,2216,0.0,1166
6,768,0.0,160
7,1340,0.0,396
6,1610,0.0,480
5,1361,1259.0,600
7,1248,0.0,438
6,912,0.0,288
6,943,,472
4,1249,0.0,1356
6,1028,884.0,180
5,1144,0.0,456
5,793,672.0,281
6,1516,0.0,472
7,1498,0.0,675
6,804,1157.0,560
7,728,728.0,440
7,1032,1196.0,349
9,1896,0.0,708
7,1368,0.0,474
7,873,908.0,588
9,1452,1237.0,858
5,720,551.0,312
7,1845,,604
7,1190,900.0,577
6,794,914.0,546
7,1302,0.0,436
8,2524,0.0,542
4,840,534.0,338
7,764,862.0,474
5,735,299.0,240
8,1518,,588
7,1040,592.0,240
7,1649,0.0,598
6,854,895.0,432
7,650,650.0,324
8,1742,0.0,564
5,686,564.0,280
6,816,0.0,528
8,908,988.0,506
6,940,403.0,240
6,992,0.0,377
8,832,1103.0,552
8,1777,0.0,534
7,847,1081.0,434
5,1051,0.0,336
6,855,601.0,440
7,798,817.0,431
8,1868,0.0,880
8,1565,0.0,665
7,814,860.0,663
5,974,0.0,0
8,1065,898.0,586
7,1080,1017.0,678
7,1424,0.0,500
5,1120,,720
7,1026,687.0,240
6,689,741.0,583
8,1234,1312.0,666
5,780,240.0,0
4,1095,679.0,779
1,683,0.0,0
7,673,709.0,490
10,1107,1518.0,840
6,1008,1032.0,205
6,806,766.0,373
7,1643,0.0,739
5,1056,0.0,304
5,784,272.0,392
6,1362,0.0,504
6,848,0.0,420
7,1454,0.0,527
7,1208,,628
5,796,370.0,566
8,1986,0.0,691
7,1311,1093.0,983
7,1314,0.0,626
7,970,739.0,380
6,672,546.0,0
6,1440,1440.0,0
5,1200,0.0,0
5,912,0.0,297
10,2444,1872.0,832
7,856,854.0,548
8,1181,1140.0,656
7,704,704.0,234
5,1466,0.0,528
6,1383,0.0,292
5,0,0.0,410
5,990,0.0,576
7,918,728.0,240
6,1020,1020.0,440
7,539,685.0,550
8,1683,743.0,541
6,952,1020.0,576
4,672,567.0,240
7,600,600.0,480
5,672,672.0,468
7,840,828.0,500
3,0,0.0,400
5,900,0.0,576
5,1559,0.0,812
4,864,0.0,248
6,923,,264
7,1552,0.0,782
7,756,,642
5,1461,0.0,440
6,483,504.0,264
6,1200,0.0,521
5,768,568.0,281
5,894,0.0,336
5,0,0.0,336
7,1053,0.0,528
5,1063,0.0,576
4,1051,0.0,459
7,1203,1306.0,721
6,1215,0.0,297
8,1165,1323.0,844
7,600,600.0,480
5,1728,0.0,560
7,576,808.0,480
8,1396,985.0,870
7,996,730.0,457
7,813,843.0,562
7,1264,1414.0,792
4,864,0.0,528
4,672,0.0,234
5,1164,0.0,564
6,1078,,440
7,1710,0.0,550
5,1219,0.0,502
8,1273,0.0,400
5,927,472.0,576
7,1907,0.0,766
5,1008,0.0,0
5,0,0.0,0
7,1107,983.0,484
5,1214,0.0,461
5,1763,0.0,454
8,1616,0.0,808
8,1554,0.0,627
7,964,1243.0,642
4,796,0.0,0
6,840,840.0,308
6,848,0.0,420
5,1142,0.0,528
6,1602,0.0,564
9,1684,0.0,564
8,2000,0.0,888
7,1616,0.0,834
8,1299,573.0,531
5,1042,534.0,225
7,807,807.0,575
5,876,0.0,276
8,1844,0.0,620
6,1258,0.0,528
8,1260,0.0,500
8,1626,0.0,866
6,855,,440
8,707,707.0,403
7,1504,0.0,478
7,1670,0.0,690
7,1192,651.0,518
6,1069,0.0,440
6,547,0.0,525
5,1572,0.0,995
5,1088,561.0,456
4,882,0.0,0
9,1922,0.0,676
5,780,0.0,352
5,533,580.0,300
7,1530,0.0,430
5,833,0.0,0
3,649,504.0,308
5,1040,0.0,260
8,1466,1362.0,1052
6,1032,220.0,288
5,1246,0.0,305
6,884,0.0,180
5,686,686.0,416
5,832,0.0,288
6,896,741.0,342
7,1358,,484
6,1657,0.0,484
6,816,0.0,275
7,992,1038.0,390
7,764,862.0,474
6,663,689.0,299
5,768,408.0,240
6,715,811.0,240
6,616,796.0,432
6,756,713.0,216
7,384,656.0,400
6,1094,0.0,495
8,1814,0.0,758
5,672,252.0,576
8,1488,0.0,528
6,616,1072.0,603
6,1262,0.0,572
9,1905,0.0,788
7,1153,878.0,541
6,1064,0.0,478
7,941,888.0,613
5,828,0.0,300
4,672,252.0,280
8,1055,1208.0,905
6,1127,872.0,540
7,1242,0.0,528
4,884,584.0,240
7,884,1151.0,434
6,1232,0.0,516
7,803,866.0,483
4,576,348.0,0
5,894,0.0,450
6,1054,1142.0,619
5,768,0.0,396
4,0,,0
5,1040,1040.0,504
5,1040,0.0,576
6,1149,467.0,216
4,641,0.0,273
5,1134,0.0,484
6,832,0.0,528
5,894,0.0,384
5,596,596.0,189
9,1833,0.0,772
5,864,0.0,288
5,864,0.0,264
6,1214,1031.0,506
5,849,1063.0,360
6,926,678.0,470
7,868,1134.0,422
5,938,0.0,308
7,912,514.0,216
5,928,992.0,400
5,1098,0.0,260
3,270,0.0,0
6,1252,0.0,528
5,1584,0.0,792
9,1498,0.0,592
9,1698,0.0,506
5,1092,0.0,299
9,1746,0.0,758
7,1304,983.0,667
5,768,0.0,200
5,1041,0.0,270
8,967,915.0,431
6,1010,1257.0,390
5,715,0.0,180
5,1216,0.0,364
6,1567,0.0,714
9,1734,1088.0,1020
7,689,689.0,360
4,715,457.0,368
6,1151,896.0,521
5,936,0.0,286
7,840,880.0,440
5,1050,0.0,338
6,1114,0.0,576
5,1008,,750
8,1593,0.0,682
5,1214,,318
5,816,0.0,264
5,0,0.0,400
8,1360,1360.0,795
8,1079,840.0,685
5,1097,0.0,672
6,983,767.0,423
6,483,504.0,288
6,981,0.0,576
5,1398,0.0,447
5,816,0.0,308
7,944,896.0,622
6,942,1230.0,576
5,1002,0.0,902
4,721,,294
6,936,0.0,564
8,1713,0.0,856
6,1392,0.0,576
6,912,0.0,923
4,1064,0.0,648
8,1595,0.0,608
6,1184,0.0,601
7,975,975.0,576
5,1086,0.0,490
5,1324,504.0,528
5,768,0.0,624
6,1161,0.0,676
8,1284,885.0,647
3,0,,287
6,1510,1208.0,520
4,936,0.0,576
4,1138,0.0,588
7,1689,0.0,954
4,948,0.0,280
6,756,756.0,440
5,894,0.0,450
7,900,920.0,644
4,0,0.0,290
3,544,0.0,0
8,2033,1185.0,666
7,1232,,632
7,1164,0.0,528
5,912,336.0,160
5,747,0.0,572
6,860,1100.0,440
4,546,,286
4,894,0.0,400
7,1453,0.0,558
5,1060,0.0,270
7,1436,0.0,484
5,540,0.0,504
7,880,888.0,320
6,816,0.0,432
7,384,656.0,400
5,1617,0.0,303
7,1356,0.0,648
4,1100,0.0,312
5,816,0.0,264
5,1350,,308
10,1722,568.0,842
5,864,0.0,572
7,1257,0.0,453
4,858,,0
6,832,878.0,506
4,732,351.0,264
6,953,694.0,460
5,864,0.0,288
8,1753,0.0,522
6,1477,,416
5,780,780.0,484
5,1626,0.0,588
6,561,668.0,462
8,1566,0.0,890
6,916,684.0,460
5,896,448.0,240
5,1126,0.0,540
5,876,0.0,264
5,616,0.0,205
5,1800,0.0,0
6,1505,0.0,505
5,1430,0.0,621
4,1132,0.0,451
6,928,836.0,470
4,0,441.0,240
6,804,748.0,336
7,1346,0.0,457
3,1162,0.0,220
6,756,756.0,440
5,935,0.0,288
6,813,0.0,270
5,896,896.0,230
7,1475,797.0,514
5,910,648.0,282
7,832,832.0,528
7,2110,0.0,522
6,824,881.0,684
5,757,550.0,336
5,811,576.0,256
7,976,732.0,380
6,912,649.0,440
5,954,648.0,520
7,915,975.0,493
5,931,0.0,506
7,1212,0.0,573
7,952,596.0,672
5,980,,384
6,1073,,470
4,1056,0.0,384
8,1234,0.0,484
5,630,672.0,440
6,319,371.0,0
5,858,0.0,576
9,1175,1142.0,736
5,105,0.0,414
6,780,813.0,442
6,684,876.0,400
5,0,0.0,630
8,1338,0.0,582
5,1188,0.0,312
7,1459,0.0,527
7,1306,954.0,533
7,1413,0.0,605
5,996,0.0,0
6,1092,0.0,504
7,625,625.0,625
7,864,864.0,572
5,924,0.0,280
6,1199,0.0,530
5,948,0.0,300
5,925,0.0,429
5,458,0.0,366
8,1580,886.0,610
7,924,941.0,487
5,1040,0.0,572
10,2633,0.0,804
5,993,,280
6,953,711.0,460
6,784,0.0,360
6,1196,0.0,473
4,1134,0.0,284
5,1268,0.0,244
7,1428,0.0,480
6,1041,0.0,352
5,1008,0.0,275
8,1622,0.0,860
6,864,864.0,673
5,952,0.0,322
5,1040,0.0,286
8,1686,0.0,511
7,935,,462
5,1392,0.0,528
5,608,0.0,270
6,742,742.0,390
5,971,0.0,300
6,1029,0.0,539
6,945,0.0,0
7,1405,0.0,478
6,959,712.0,472
5,1056,0.0,495
5,0,720.0,672
6,918,0.0,264
5,1437,0.0,528
6,1069,0.0,440
6,727,727.0,441
7,817,1070.0,510
8,1935,0.0,895
7,710,1080.0,564
6,848,0.0,420
7,384,670.0,400
5,1056,0.0,260
5,864,0.0,484
6,1032,0.0,564
5,961,0.0,338
5,1235,0.0,480
7,910,0.0,719
6,483,504.0,264
6,975,0.0,504
5,1006,0.0,0
5,780,780.0,0
7,860,,565
4,960,0.0,308
7,1604,0.0,660
8,2217,0.0,621
6,1844,0.0,540
6,799,772.0,380
7,1468,0.0,577
5,1499,167.0,529
6,1240,0.0,338
8,866,902.0,578
5,1096,0.0,299
7,791,857.0,542
6,660,688.0,453
7,728,728.0,410
5,1484,0.0,319
6,1682,0.0,544
6,808,785.0,389
5,1008,0.0,288
6,855,586.0,440
8,1710,0.0,866
7,948,888.0,463
6,725,754.0,475
7,723,0.0,367
7,654,,426
8,1520,0.0,648
5,980,0.0,308
8,1085,850.0,753
8,1453,1357.0,750
8,1470,,696
5,1105,1169.0,480
6,1261,0.0,433
5,1486,0.0,480
5,773,0.0,240
6,1319,0.0,462
7,866,913.0,546
4,950,0.0,0
6,848,0.0,420
6,780,596.0,198
6,729,729.0,440
4,440,0.0,0
6,729,729.0,440
5,864,0.0,440
7,832,833.0,427
5,1390,0.0,611
4,864,0.0,576
6,528,761.0,512
6,1606,0.0,616
6,612,612.0,528
5,928,0.0,288
4,0,720.0,0
7,728,809.0,546
6,708,708.0,776
8,1058,846.0,736
5,936,0.0,308
6,716,840.0,452
4,864,0.0,400
7,1654,0.0,900
5,816,0.0,576
8,1252,1097.0,856
4,1067,0.0,436
6,0,584.0,539
7,1374,0.0,420
7,1195,644.0,486
