1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1108,0.0,3.0,No,0,Unf,637,,280,Unf,1930.0,1108,Gd,7449,57.0,0.0,0,7,7,637,,1930,1950,139400
1795,0.0,3.0,No,0,,1777,,534,RFn,2002.0,1795,Gd,9742,75.0,281.0,159,5,8,1777,,2002,2002,230000
1060,0.0,3.0,No,840,GLQ,200,,572,,1976.0,1060,TA,4224,44.0,0.0,110,7,5,1040,100.0,1976,1976,129900
1060,0.0,3.0,Mn,188,Rec,204,,270,Unf,1968.0,1060,Gd,8246,,0.0,90,8,5,1060,,1968,2001,154000
1600,0.0,3.0,No,0,Unf,1566,,890,RFn,2007.0,1600,Gd,14230,110.0,640.0,56,5,8,1566,,2007,2007,256300
900,0.0,3.0,Mn,234,,180,,576,Unf,2005.0,900,Gd,7200,60.0,0.0,32,7,5,900,,1951,2000,134800
1704,,3.0,No,1218,GLQ,486,,772,,2008.0,1704,Gd,11478,98.0,200.0,50,5,8,1704,,2007,2008,306000
1600,0.0,2.0,Gd,1277,BLQ,207,0.0,319,RFn,1957.0,1600,TA,16321,47.0,0.0,258,6,5,1484,,1957,1997,207500
520,0.0,1.0,No,0,Unf,520,,240,Unf,1920.0,520,Fa,6324,60.0,0.0,0,6,4,520,,1927,1950,68500
649,668.0,3.0,No,0,Unf,649,,250,Unf,1920.0,1317,TA,8500,50.0,0.0,54,4,4,649,,1920,1950,40000
1228,0.0,3.0,No,0,Unf,1228,,271,Unf,1966.0,1228,Gd,8544,,0.0,65,6,5,1228,,1966,2006,149350
1234,0.0,3.0,Av,0,Unf,1234,0.0,484,RFn,2007.0,1234,Gd,11049,85.0,0.0,30,5,8,1234,,2007,2007,179900
1700,0.0,4.0,No,1018,Rec,380,,447,RFn,1959.0,1700,Gd,10552,70.0,0.0,38,5,5,1398,,1959,1959,165500
1561,0.0,2.0,No,1153,GLQ,408,,556,Fin,2005.0,1561,Ex,7313,60.0,246.0,47,5,9,1561,203.0,2005,2005,277500
1132,1320.0,4.0,Av,0,Unf,1117,,691,,2004.0,2452,Gd,13418,108.0,132.0,32,5,8,1117,,2004,2005,309000
1097,0.0,3.0,No,0,Unf,1097,,672,Unf,1995.0,1097,TA,10859,112.0,0.0,64,5,5,1097,,1994,1995,145000
1297,0.0,,No,1213,Rec,84,0.0,498,Fin,1954.0,1297,TA,8532,74.0,650.0,0,6,5,1297,,1954,1990,153000
1057,0.0,3.0,No,731,GLQ,326,,246,Unf,1953.0,1057,Gd,7922,68.0,0.0,52,7,5,1057,,1953,2007,109000
1152,0.0,,None,0,None,0,,0,None,,1152,Fa,6040,65.0,0.0,0,5,4,0,,1955,1955,82000
1324,0.0,3.0,No,643,Rec,445,,440,,1965.0,1324,TA,8658,84.0,101.0,138,5,6,1088,0.0,1965,1965,160000
1328,,2.0,Gd,967,BLQ,383,,308,,1959.0,1328,TA,16905,115.0,0.0,104,6,5,1350,,1959,1959,170000
884,0.0,2.0,Av,747,ALQ,0,,504,RFn,1983.0,884,Gd,9180,,0.0,0,7,5,840,240.0,1983,1983,144000
938,0.0,3.0,Av,280,LwQ,167,,308,Unf,1977.0,938,TA,9200,,0.0,0,6,5,938,145.0,1975,1980,130250
1150,0.0,3.0,No,179,ALQ,465,,300,RFn,1959.0,1150,TA,7945,70.0,0.0,0,6,5,1150,,1959,1959,141000
1752,0.0,2.0,No,456,GLQ,1296,,576,RFn,2005.0,1752,Ex,7658,61.0,412.0,82,5,9,1752,,2005,2005,319900
1518,631.0,1.0,No,1351,GLQ,83,,670,RFn,2003.0,2149,Gd,12822,48.0,0.0,43,5,7,1434,,2003,2003,239686
1656,0.0,3.0,Av,24,GLQ,1632,,826,,2006.0,1656,Gd,11096,84.0,0.0,146,5,8,1656,,2006,2006,249700
736,716.0,2.0,No,0,Unf,736,,0,None,,1452,TA,4456,33.0,0.0,0,5,4,736,,1920,2008,113000
955,0.0,3.0,No,763,BLQ,192,,386,Unf,1966.0,955,TA,7742,66.0,0.0,0,7,5,955,,1966,1966,127000
794,676.0,,Av,182,GLQ,612,,388,Fin,1997.0,1470,TA,13869,,0.0,75,6,6,794,,1997,1997,177000
816,0.0,3.0,No,0,Unf,816,,528,Unf,1985.0,1176,TA,6240,52.0,0.0,0,6,6,816,,1934,1950,114500
816,0.0,2.0,Gd,104,LwQ,0,,516,Unf,1963.0,816,TA,8472,110.0,0.0,0,5,5,816,,1963,1963,110000
1842,0.0,0.0,Gd,1810,GLQ,32,,894,Fin,1981.0,1842,Gd,50271,68.0,0.0,72,5,9,1842,,1981,1987,385000
1360,0.0,,No,384,ALQ,0,,572,Unf,1962.0,1360,TA,7134,60.0,0.0,50,5,5,384,,1955,1955,130000
1425,0.0,3.0,No,490,,935,,576,RFn,1964.0,1425,TA,10175,100.0,272.0,0,5,6,1425,,1964,1964,180500
983,756.0,3.0,No,649,GLQ,321,,480,Fin,1999.0,1739,Gd,2645,24.0,456.0,0,5,8,970,,1999,2000,172500
860,,3.0,No,0,Unf,860,,565,RFn,2004.0,1720,Gd,11645,89.0,0.0,70,5,7,860,,2004,2004,196500
1426,1519.0,3.0,Gd,0,Unf,1410,,641,Fin,2006.0,2945,Gd,13682,66.0,1031.0,0,5,10,1410,,2006,2006,438780
780,0.0,2.0,Av,632,ALQ,148,,352,Unf,1973.0,780,TA,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,124900
1158,0.0,3.0,No,941,ALQ,217,,576,Unf,2006.0,1158,Gd,13072,63.0,0.0,50,5,6,1158,,2004,2004,158000
581,530.0,3.0,No,0,Unf,530,,288,Unf,1935.0,1111,Fa,7200,60.0,0.0,0,7,5,530,,1920,1996,101000
1370,0.0,2.0,Mn,24,GLQ,1346,,484,RFn,2006.0,1370,Gd,6442,44.0,178.0,49,5,8,1370,,2006,2006,202500
902,808.0,3.0,No,0,Unf,576,,480,Unf,1990.0,1710,TA,10300,50.0,0.0,11,6,7,576,,1921,1950,140000
1057,977.0,,No,739,GLQ,318,0.0,645,RFn,1998.0,2034,Gd,9375,,573.0,36,5,7,1057,,1997,1998,219500
1143,1330.0,4.0,Av,0,Unf,1143,,852,,2004.0,2473,Gd,9591,76.0,344.0,151,5,8,1143,,2004,2005,317000
2207,0.0,3.0,Gd,912,GLQ,1035,,576,RFn,1970.0,2207,TA,19900,,287.0,0,5,7,1947,,1970,1989,180000
1479,0.0,3.0,Av,1013,GLQ,440,,558,RFn,2003.0,1479,Gd,10665,72.0,167.0,29,5,7,1453,,2003,2003,226000
747,0.0,2.0,No,0,Unf,747,,220,Unf,1945.0,747,TA,4608,47.0,0.0,0,6,4,747,,1945,1950,80000
1304,983.0,,No,603,BLQ,701,,667,Fin,1953.0,2287,TA,15593,81.0,0.0,21,4,7,1304,,1953,1953,225000
2223,0.0,3.0,Gd,1880,ALQ,343,,516,Fin,1973.0,2223,TA,13651,95.0,1115.0,0,6,7,2223,300.0,1973,1973,244000
845,0.0,2.0,No,565,ALQ,280,0.0,360,Unf,1987.0,845,TA,7599,69.0,0.0,0,6,4,845,,1982,2006,129500
885,833.0,3.0,No,0,Unf,832,,427,Fin,1998.0,1718,TA,10141,74.0,40.0,94,5,7,832,,1998,1998,185000
1086,0.0,3.0,No,320,ALQ,404,0.0,490,Unf,1989.0,1086,TA,10200,85.0,104.0,0,7,5,1086,,1954,2003,144900
840,765.0,3.0,No,0,Unf,840,,379,Unf,1915.0,1605,TA,5790,60.0,0.0,0,6,3,840,0.0,1915,1950,107400
526,462.0,2.0,Gd,462,GLQ,0,,297,Unf,1973.0,988,TA,1596,21.0,0.0,101,5,4,462,,1973,1973,91000
952,0.0,2.0,No,228,ALQ,724,,283,Unf,1956.0,952,TA,8475,,0.0,0,7,4,952,,1956,1956,135750
1072,213.0,2.0,No,336,BLQ,295,,240,Unf,1948.0,1285,TA,8635,50.0,0.0,0,5,5,672,,1948,2001,127000
1768,0.0,4.0,No,0,Unf,1768,,0,None,,1768,TA,10778,72.0,0.0,0,5,4,1768,,1968,1968,136500
682,548.0,2.0,No,0,Unf,440,,440,Unf,1966.0,1230,TA,10440,60.0,0.0,0,6,5,440,,1910,1981,110000
1182,960.0,,No,448,Rec,448,,509,Fin,1968.0,2142,Gd,13000,100.0,576.0,72,6,6,896,,1968,1968,193500
1337,0.0,2.0,No,1201,GLQ,36,,405,Fin,1998.0,1337,TA,4500,32.0,443.0,199,5,6,1237,,1998,1998,153500
1563,0.0,3.0,No,33,GLQ,1530,,758,RFn,2007.0,1563,Gd,10206,78.0,468.0,99,5,8,1563,,2007,2007,245000
1065,0.0,3.0,No,0,Unf,1065,,461,Unf,1974.0,1065,TA,8892,80.0,66.0,0,5,5,1065,,1960,1960,126500
804,670.0,3.0,No,0,Unf,384,,400,Fin,1995.0,1474,TA,8530,,22.0,72,5,7,384,120.0,1995,1996,168500
1301,1116.0,4.0,No,0,Unf,1288,,462,Unf,1991.0,2417,Gd,16059,121.0,284.0,82,5,8,1288,127.0,1991,1992,260000
684,876.0,3.0,Av,0,Unf,684,,400,Fin,2005.0,1560,Gd,11911,122.0,0.0,38,5,6,684,,2005,2005,174000
612,612.0,,Av,0,Unf,612,,528,RFn,2009.0,1224,Gd,3951,40.0,76.0,234,5,6,612,,2009,2009,164500
1013,0.0,2.0,No,0,Unf,1013,,0,None,,1526,Fa,8470,105.0,0.0,0,2,3,1013,,1915,1982,85000
990,0.0,3.0,No,588,,402,,0,None,,990,TA,8070,60.0,0.0,0,5,4,990,,1994,1995,123600
1040,0.0,2.0,None,0,,0,,420,Unf,1950.0,1040,TA,7200,60.0,0.0,29,5,4,0,,1950,1950,109900
1235,0.0,2.0,No,600,Rec,635,0.0,480,Unf,1961.0,1235,TA,8500,85.0,203.0,0,3,5,1235,,1961,1961,98600
964,0.0,2.0,No,713,ALQ,163,,432,Unf,1921.0,964,TA,13360,80.0,0.0,0,7,5,876,,1921,2006,163500
1260,1031.0,4.0,Mn,1046,Rec,168,,506,Unf,1900.0,2291,TA,7200,60.0,0.0,0,6,6,1214,,1910,1998,133900
905,881.0,3.0,No,648,GLQ,176,,684,RFn,1997.0,1786,Gd,9337,69.0,0.0,162,5,6,824,,1997,1997,204750
680,790.0,3.0,No,310,,370,,420,Fin,1993.0,1470,TA,9765,,68.0,63,8,6,680,,1993,1993,185000
1588,,,Av,1162,ALQ,426,,472,RFn,1999.0,1588,Gd,10264,78.0,183.0,29,5,7,1588,,1999,1999,214000
960,0.0,3.0,No,520,Rec,440,,432,Fin,1965.0,960,TA,10921,73.0,48.0,0,5,4,960,,1965,1965,94750
835,0.0,2.0,No,108,ALQ,350,,366,Unf,1920.0,835,TA,10625,85.0,0.0,0,5,5,458,0.0,1920,1950,83000
1225,0.0,3.0,No,569,ALQ,381,,0,None,,1225,TA,9320,77.0,0.0,0,5,4,950,,1959,1959,128950
1610,0.0,3.0,Mn,1200,ALQ,410,,480,RFn,1977.0,1610,Gd,10603,,28.0,68,7,6,1610,,1977,2001,205000
977,755.0,3.0,No,0,,741,,476,Fin,1985.0,1732,Gd,9206,77.0,336.0,46,5,6,741,,1985,1985,178000
1535,0.0,4.0,None,0,None,0,,410,Unf,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,,1979,1979,118964
1226,0.0,,No,0,Unf,1226,,740,RFn,2009.0,1226,Gd,10402,94.0,0.0,36,5,7,1226,,2009,2009,198900
1226,592.0,4.0,No,224,LwQ,816,,240,,1951.0,1818,TA,7758,,600.0,0,4,7,1040,,1931,1950,169500
1053,,3.0,No,0,Unf,1053,,648,RFn,2003.0,1992,Gd,9375,75.0,768.0,45,5,8,1053,,2003,2004,250000
1047,0.0,2.0,No,0,Unf,641,,273,Unf,1954.0,1047,TA,10800,60.0,0.0,0,7,4,641,,1885,1995,100000
789,0.0,2.0,No,104,ALQ,516,,250,Unf,1948.0,789,TA,6000,50.0,0.0,0,5,5,789,,1948,1950,115000
997,,3.0,No,0,Unf,793,,0,None,,1517,Fa,8500,85.0,0.0,0,7,5,793,,1919,2005,115000
1844,0.0,3.0,No,705,BLQ,1139,,546,RFn,1977.0,1844,TA,11751,105.0,480.0,122,6,6,1844,,1977,1977,190000
1216,639.0,4.0,No,444,Rec,550,,325,Unf,1954.0,1855,TA,9525,75.0,0.0,0,4,6,994,,1954,1972,136900
774,656.0,3.0,No,250,GLQ,134,,400,Fin,2000.0,1430,TA,7750,,0.0,0,5,7,384,,2000,2000,180000
1282,1414.0,4.0,Av,984,GLQ,280,,792,,2007.0,2696,Ex,9965,77.0,220.0,184,5,7,1264,,2007,2007,383970
2259,0.0,3.0,Mn,35,,905,,450,Unf,1953.0,2259,Gd,21000,,184.0,120,5,6,1809,,1953,1953,217000
1436,884.0,3.0,No,774,ALQ,104,,180,Unf,1945.0,2320,Gd,7259,61.0,0.0,0,8,6,1028,,1945,2002,259500
729,729.0,2.0,No,419,GLQ,310,,440,Unf,1999.0,1458,TA,3230,34.0,1129.0,32,5,6,729,,1999,1999,176000
1092,0.0,3.0,No,170,LwQ,252,,288,Unf,1962.0,1092,TA,11616,,116.0,20,5,5,1092,,1962,1962,139000
1125,0.0,2.0,No,0,Unf,1125,,430,Unf,2007.0,1125,TA,8536,74.0,0.0,64,5,5,1125,,2006,2007,155000
1699,1523.0,5.0,Mn,1470,GLQ,203,,594,Unf,1990.0,3222,Gd,12376,90.0,0.0,0,5,7,1673,,1990,1990,320000
728,728.0,3.0,No,0,Unf,728,,390,Fin,2005.0,1456,Gd,8461,65.0,0.0,24,5,6,728,,2005,2006,163990
988,0.0,1.0,Gd,938,ALQ,0,,540,Unf,1969.0,988,TA,21453,,0.0,130,5,6,938,0.0,1969,1969,180000
772,351.0,3.0,No,0,Unf,732,,264,Unf,1979.0,1123,TA,6060,50.0,0.0,0,5,4,732,,1939,1950,100000
1080,0.0,3.0,No,570,BLQ,510,,288,Unf,1958.0,1080,TA,9464,75.0,135.0,0,7,6,1080,,1958,1958,136000
1199,0.0,2.0,No,300,GLQ,899,,530,RFn,1993.0,1199,Gd,7892,55.0,0.0,63,5,6,1199,,1993,1993,153900
1586,0.0,3.0,No,0,,1362,,435,Unf,1979.0,1586,TA,17043,48.0,0.0,0,5,6,1362,192.0,1979,1998,181000
520,0.0,2.0,Av,490,GLQ,30,,0,,,754,TA,6780,60.0,0.0,0,8,6,520,,1935,1982,84500
958,,2.0,No,120,ALQ,958,,440,RFn,1977.0,958,TA,4928,,0.0,205,5,6,1078,0.0,1976,1976,128000
840,0.0,3.0,No,116,LwQ,556,,0,None,,840,TA,4388,55.0,0.0,0,7,5,672,,1930,1950,87000
660,688.0,3.0,No,512,BLQ,148,,453,RFn,1966.0,1348,TA,7590,69.0,266.0,108,5,6,660,,1966,1966,155000
1053,,3.0,No,567,Rec,413,,750,RFn,1998.0,1053,Ex,8973,69.0,85.0,80,7,5,1008,,1958,1991,150000
1216,941.0,4.0,No,445,Rec,479,,487,,1966.0,2157,Gd,14200,88.0,309.0,66,6,7,924,,1966,1966,226000
1022,1032.0,3.0,No,695,GLQ,297,,390,RFn,2000.0,2054,Gd,12224,,40.0,48,5,6,992,,2000,2000,244000
1327,0.0,,No,405,Rec,658,,624,Unf,1974.0,1327,Gd,7388,75.0,0.0,0,6,5,1063,,1959,2002,150750
1296,0.0,2.0,No,1005,GLQ,262,,471,Fin,2001.0,1296,Gd,6853,,136.0,25,5,8,1267,,2001,2002,220000
1721,0.0,3.0,No,570,Rec,891,,440,RFn,1968.0,1721,TA,10335,78.0,0.0,96,6,5,1461,,1968,1993,180000
1682,0.0,3.0,No,0,Unf,1304,,530,Unf,1970.0,1682,TA,10400,80.0,288.0,0,6,7,1304,,1970,1970,174000
1214,,,No,695,BLQ,519,0.0,318,RFn,1967.0,1214,TA,10355,,196.0,111,5,5,1214,,1967,1967,143000
1959,0.0,5.0,No,0,Unf,1907,,766,Unf,1989.0,1959,TA,11070,82.0,70.0,0,5,7,1907,,1988,1989,171000
1004,848.0,3.0,Mn,668,GLQ,336,,660,Fin,1999.0,1852,Gd,9066,73.0,320.0,106,5,8,1004,,1999,2000,230000
928,836.0,3.0,No,821,GLQ,107,,470,RFn,1997.0,1764,Gd,15426,65.0,0.0,99,5,6,928,,1997,1997,231500
864,0.0,3.0,No,432,ALQ,432,,0,None,,864,TA,10500,70.0,0.0,0,5,4,864,,1971,1971,115000
1734,0.0,3.0,Av,1300,GLQ,434,,660,,2005.0,1734,Gd,11645,78.0,0.0,24,5,7,1734,,2005,2005,260000
910,,4.0,No,507,Rec,403,,720,Unf,2000.0,1385,TA,8520,71.0,0.0,0,4,5,910,,1952,1952,166000
1501,0.0,3.0,Gd,679,GLQ,811,,577,RFn,1999.0,1501,Gd,10335,78.0,183.0,29,5,7,1490,,1999,1999,204000
1728,0.0,6.0,No,1332,Rec,396,,504,Unf,1963.0,1728,TA,9100,70.0,336.0,0,5,5,1728,0.0,1963,1963,125000
970,739.0,3.0,No,0,Unf,970,,380,Unf,2004.0,1709,Gd,2522,24.0,50.0,40,5,6,970,,2004,2006,130000
875,0.0,2.0,No,209,BLQ,506,,180,Unf,1931.0,875,TA,6120,51.0,0.0,0,7,5,715,,1931,1993,105000
884,1151.0,3.0,No,0,Unf,884,,434,Fin,2001.0,2035,Gd,9505,,180.0,48,5,7,884,,2001,2001,222500
1080,0.0,3.0,No,680,GLQ,400,0.0,0,None,,1080,Gd,7500,63.0,120.0,0,5,7,1080,,2004,2005,141000
896,448.0,3.0,No,0,Unf,896,,240,,1936.0,1344,TA,6240,,0.0,114,4,5,896,,1936,1950,115000
969,0.0,3.0,Av,716,BLQ,253,,440,Unf,1975.0,969,TA,10356,120.0,0.0,0,6,5,969,,1975,1975,122000
1710,0.0,2.0,Gd,1400,,310,,866,RFn,2007.0,1710,Gd,13891,107.0,436.0,102,5,8,1710,,2007,2008,372402
1097,896.0,4.0,No,416,Rec,409,,495,RFn,1971.0,1993,TA,14803,,252.0,66,5,6,825,,1971,1971,190000
1252,0.0,1.0,Gd,429,BLQ,93,,564,RFn,1960.0,1252,TA,13500,,0.0,0,7,6,1602,,1960,1975,235000
1200,0.0,4.0,No,0,Unf,1200,,312,Unf,1923.0,1200,TA,11340,84.0,0.0,0,5,6,1200,,1923,1950,125000
572,524.0,2.0,No,0,Unf,572,,0,None,,1096,TA,9600,60.0,0.0,8,5,6,572,,1924,1950,79000
1040,0.0,2.0,None,0,None,0,,625,Unf,1950.0,1040,TA,7200,60.0,0.0,0,7,5,0,,1950,1950,109500
774,1194.0,4.0,No,0,,774,,680,Fin,2009.0,1968,Ex,12003,92.0,84.0,75,5,8,774,,2009,2010,269500
991,956.0,3.0,No,222,GLQ,769,,678,RFn,2004.0,1947,Gd,12552,100.0,0.0,136,5,7,991,,2004,2005,254900
1392,1070.0,4.0,Mn,57,GLQ,1335,,576,RFn,2006.0,2462,Gd,19378,134.0,456.0,132,5,7,1392,,2005,2006,320000
1232,0.0,3.0,No,660,BLQ,572,,516,Unf,1984.0,1232,TA,11120,,0.0,0,6,6,1232,,1984,1984,162500
1572,1096.0,3.0,Av,1016,GLQ,556,,726,Fin,2003.0,2668,Ex,13688,110.0,664.0,0,5,9,1572,,2003,2004,412500
1541,0.0,3.0,Mn,1201,,340,,532,,2005.0,1541,Gd,12182,95.0,226.0,70,5,7,1541,,2005,2005,220000
882,0.0,1.0,No,0,Unf,882,,0,None,,882,TA,5500,55.0,0.0,0,6,4,882,,1956,1956,103200
1149,467.0,3.0,Mn,370,LwQ,779,,216,Unf,1926.0,1616,Gd,5400,40.0,0.0,0,7,6,1149,,1926,2004,152000
808,547.0,4.0,No,351,ALQ,112,,0,None,,1355,TA,10106,62.0,0.0,0,7,5,644,,1940,1999,127500
1867,0.0,2.0,No,379,LwQ,470,,303,Fin,1955.0,1867,TA,10708,,0.0,0,5,5,1617,,1955,1993,190000
1610,551.0,3.0,No,1288,GLQ,294,,789,Fin,2007.0,2161,Ex,10562,86.0,300.0,120,5,8,1582,,2007,2007,325624
840,880.0,3.0,No,0,Unf,840,,440,Fin,2004.0,1720,Gd,8244,62.0,0.0,48,5,7,840,,2004,2004,183500
1707,0.0,2.0,No,0,Unf,1686,,511,RFn,1981.0,1707,TA,16669,,653.0,64,6,8,1686,,1981,1981,228000
854,0.0,2.0,No,360,Rec,360,,660,,1991.0,1382,TA,12358,,0.0,0,6,5,720,,1941,1950,128500
1656,0.0,3.0,Gd,639,BLQ,441,,528,Fin,1960.0,1656,TA,31770,141.0,112.0,62,5,6,1080,,1960,1960,215000
1064,703.0,2.0,No,495,GLQ,354,,504,RFn,1987.0,1767,Gd,5306,44.0,0.0,35,7,7,1064,,1987,1987,239000
1362,0.0,,No,288,ALQ,700,,504,,1961.0,1362,TA,10197,80.0,491.0,20,5,6,1362,,1961,1961,163000
1651,0.0,3.0,No,1398,ALQ,0,,616,Fin,1986.0,1651,TA,12416,47.0,132.0,0,5,6,1606,,1986,1986,184000
2158,0.0,4.0,Av,477,ALQ,725,,576,Unf,1950.0,2158,Gd,12615,84.0,0.0,29,7,6,1202,,1950,2001,243000
1164,896.0,4.0,No,831,GLQ,320,,521,,1988.0,2060,TA,10029,97.0,268.0,228,5,6,1151,0.0,1988,1989,211000
1252,668.0,4.0,No,57,ALQ,554,,451,Unf,1958.0,1920,Gd,13650,,0.0,0,5,5,1052,,1958,1958,172500
2234,0.0,1.0,No,1904,GLQ,312,,1166,Fin,2009.0,2234,Ex,17423,63.0,748.0,60,5,9,2216,,2008,2009,501837
968,0.0,2.0,No,0,Unf,968,,480,Unf,1935.0,968,TA,8520,60.0,0.0,0,6,5,968,,1923,2006,100000
769,756.0,3.0,No,436,GLQ,320,,440,Unf,2000.0,1525,Gd,2117,,456.0,0,5,6,756,,2000,2000,177000
901,901.0,4.0,No,352,LwQ,441,,216,Unf,1920.0,1802,TA,7588,54.0,0.0,0,6,7,793,0.0,1920,1950,200100
1340,0.0,3.0,None,0,,0,,252,,1957.0,1340,TA,9060,60.0,98.0,0,6,5,0,,1957,2006,120000
1362,720.0,3.0,No,0,Unf,1362,,484,Unf,2003.0,2082,Gd,11426,63.0,0.0,238,5,7,1362,,2003,2003,200000
936,316.0,3.0,No,0,Unf,504,,576,Unf,1986.0,1252,TA,7438,92.0,0.0,0,8,5,504,104.0,1908,1991,127000
1518,1518.0,4.0,Mn,0,Unf,1107,,840,Unf,1993.0,3608,Ex,22950,90.0,0.0,260,9,10,1107,,1892,1993,475000
1217,0.0,3.0,Av,611,GLQ,577,,497,Unf,1990.0,1217,Gd,9947,,0.0,27,5,7,1188,,1990,1991,173000
808,704.0,3.0,No,0,Unf,660,,180,Unf,1916.0,1656,TA,10410,60.0,0.0,0,7,5,660,0.0,1916,1987,135000
1224,0.0,2.0,Av,1086,GLQ,0,,528,Unf,1979.0,1224,TA,7018,64.0,275.0,0,5,5,1086,,1979,1979,153337
1593,0.0,0.0,Av,1153,GLQ,440,,682,Fin,2001.0,1593,Ex,4923,41.0,0.0,120,5,8,1593,,2001,2002,286000
1549,1178.0,3.0,No,297,Rec,556,,440,Unf,1932.0,2727,Gd,10570,70.0,0.0,74,8,8,853,,1932,1994,315000
725,754.0,4.0,No,626,ALQ,99,,484,Fin,1972.0,1479,Gd,7472,,138.0,32,9,7,725,,1972,2004,184000
1431,0.0,3.0,Av,560,GLQ,871,,666,Fin,1999.0,1431,Gd,9017,68.0,0.0,35,5,7,1431,,1999,1999,192000
970,739.0,,No,0,Unf,970,,380,Unf,2004.0,1709,Gd,2522,24.0,50.0,40,5,7,970,,2004,2004,130000
864,0.0,3.0,Av,390,ALQ,474,,352,Unf,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,,1972,1972,127000
855,,3.0,No,566,ALQ,289,,440,,1976.0,1456,TA,2280,24.0,0.0,0,6,6,855,,1976,1976,148500
1726,0.0,3.0,No,1126,,600,0.0,786,,2007.0,1726,Ex,9416,79.0,205.0,138,5,7,1726,,2007,2007,311872
1360,1360.0,,No,1036,,140,,795,Unf,1918.0,3112,Gd,25419,174.0,0.0,16,4,8,1360,,1918,1990,235000
929,929.0,5.0,No,0,Unf,755,,0,None,,2229,TA,5520,92.0,0.0,198,6,6,755,,1912,1950,104000
